index	alt	CO	O	CO2	O2
73	106.55	2103462788.7513797	2103462788.7513797	444791632697.42	485020566.64032257
74	106.59999999999962	2092185760.0910347	2092185760.0910347	440980752014.7372	480531930.9983871
75	106.69999999999962	2069631702.770345	2069631702.770345	437169871332.0544	476043295.3564516
76	106.7999999999996	2047077645.4496555	2047077645.4496555	433358990649.3715	471554659.71451616
77	106.8999999999996	2024523588.1289656	2024523588.1289656	429548109966.6887	467066024.07258064
78	106.9999999999996	2001969530.8082762	2001969530.8082762	425737229284.0059	462577388.4306452
79	107.0999999999996	1979415473.4875863	1979415473.4875863	421926348601.3231	458088752.78870964
80	107.1999999999996	1956861416.1668968	1956861416.1668968	418115467918.6403	453600117.14677423
81	107.2999999999996	1934307358.8462071	1934307358.8462071	414304587235.9575	449111481.50483865
82	107.39999999999958	1911753301.5255167	1911753301.5255167	410493706553.27466	444622845.8629032
83	107.49999999999956	1889199244.204828	1889199244.204828	406682825870.5919	440134210.22096777
84	107.59999999999957	1866645186.8841379	1866645186.8841379	402871945187.90906	435645574.5790322
85	107.69999999999956	1844091129.5634484	1844091129.5634484	399061064505.2263	431156938.93709683
86	107.79999999999956	1821537072.2427585	1821537072.2427585	395250183822.54346	426668303.2951613
87	107.89999999999957	1798983014.922069	1798983014.922069	391439303139.8606	422179667.65322584
88	107.99999999999956	1776428957.6013796	1776428957.6013796	387628422457.1778	417691032.0112903
89	108.09999999999954	1753874900.2806895	1753874900.2806895	383817541774.495	413202396.3693549
90	108.16	1731320842.96	1731320842.96	380006661091.8122	408713760.7274194
91	108.19999999999952	1716939477.429697	1719063203.3333335	376195780409.1294	404225125.0854839
92	108.29999999999953	1702558111.899394	1706805563.7066667	372384899726.4465	399736489.4435484
93	108.39999999999952	1688176746.369091	1694547924.08	368574019043.7637	395247853.80161285
94	108.49999999999952	1673795380.838788	1682290284.4533336	364763138361.0809	390759218.1596774
95	108.59999999999953	1659414015.3084848	1670032644.8266668	360952257678.3981	386270582.5177419
96	108.6999999999995	1645032649.7781818	1657775005.2	357141376995.7153	381781946.87580645
97	108.7999999999995	1630651284.2478788	1645517365.5733333	353330496313.0325	377293311.233871
98	108.89999999999951	1616269918.7175758	1633259725.9466667	349519615630.3497	372804675.59193546
99	108.98	1609079235.9524245	1627130906.1333337	347614175289.0083	368316039.95
100	108.99999999999949	1601888553.1872725	1621002086.3200002	345708734947.6669	365431019.544
101	109.09999999999948	1587507187.6569698	1608744446.6933336	341897854264.9841	362545999.138
102	109.19999999999949	1573125822.1266668	1596486807.0666664	338086973582.3013	359660978.732
103	109.29999999999949	1558744456.5963635	1584229167.44	334276092899.6184	356775958.326
104	109.39999999999948	1544363091.0660605	1571971527.8133335	330465212216.9357	353890937.92
105	109.49999999999945	1529981725.5357573	1559713888.1866667	326654331534.2528	351005917.514
106	109.52	1522791042.770606	1553585068.3733337	322843450851.57	348120897.10800004
107	109.59999999999944	1515600360.0054545	1547456248.56	320161308551.36426	345235876.70199996
108	109.69999999999945	1501218994.4751515	1535198608.9333336	317479166251.1585	342350856.296
109	109.79999999999944	1486837628.9448485	1522940969.3066669	314797023950.9528	339465835.89
110	109.89999999999945	1472456263.4145455	1510683329.68	312114881650.7469	336580815.484
111	109.99999999999945	1458074897.8842425	1498425690.0533333	309432739350.5412	333695795.078
112	110.09999999999944	1443693532.3539395	1486168050.4266667	306750597050.33545	330810774.672
113	110.19999999999943	1429312166.8236365	1473910410.8000002	304068454750.1297	327925754.266
114	110.29999999999941	1414930801.2933333	1461652771.1733336	301386312449.92395	325040733.86
115	110.39999999999941	1400549435.7630305	1449395131.5466664	298704170149.7182	322155713.454
116	110.4999999999994	1386168070.2327273	1437137491.92	296022027849.51245	319270693.048
117	110.59999999999941	1371786704.7024245	1424879852.2933335	293339885549.3067	316385672.642
118	110.6999999999994	1357405339.1721213	1412622212.6666667	290657743249.1009	313500652.236
119	110.79999999999941	1343023973.641818	1400364573.04	287975600948.89514	310615631.83
120	110.89999999999937	1328642608.111515	1388106933.4133337	285293458648.6894	307730611.424
121	110.99999999999935	1314261242.5812118	1375849293.7866669	282611316348.48364	304845591.018
122	111.09999999999935	1299879877.050909	1363591654.16	279929174048.2779	301960570.612
123	111.19999999999935	1285498511.520606	1351334014.5333333	277247031748.0721	299075550.206
124	111.29999999999936	1271117145.990303	1339076374.9066668	274564889447.8664	296190529.8
125	111.39	1256735780.46	1326818735.2800002	271882747147.6606	293305509.394
126	111.39999999999935	1247212138.8927028	1314561095.6533337	269200604847.4549	290420488.98800004
127	111.49999999999935	1237688497.3254054	1302303456.0266664	266518462547.2491	287535468.582
128	111.5	1232926676.5417564	1290045816.4	263836320247.0433	284650448.176
129	111.59999999999935	1228164855.758108	1281840221.2173915	261154177946.8376	281765427.77
130	111.6999999999993	1218641214.190811	1273634626.0347824	258472035646.63184	278880407.364
131	111.79999999999932	1209117572.6235135	1265429030.852174	255789893346.4261	275995386.958
132	111.89999999999931	1199593931.0562162	1257223435.6695652	253107751046.2203	273110366.552
133	111.99999999999932	1190070289.488919	1249017840.4869564	250425608746.01456	270225346.14599997
134	112.02	1185308468.7052705	1244915042.8956525	249084537595.9117	267340325.74
135	112.09999999999931	1180546647.9216216	1240812245.304348	247743466445.8088	265184843.31
136	112.19999999999929	1171023006.3543243	1232606650.1217391	245061324145.60306	263029360.88
137	112.2999999999993	1161499364.7870274	1224401054.9391305	242379181845.3973	260873878.45
138	112.3999999999993	1151975723.2197294	1216195459.7565215	239697039545.19156	258718396.02
139	112.49999999999928	1142452081.6524324	1207989864.573913	237014897244.98575	256562913.59
140	112.54	1137690260.868784	1203887066.9826088	234332754944.78	254407431.16
