alt	CO	O	CO2	N	N2	O2
116.67049356044024	44770695292.59331	28829964342.994644	10741733241416.102	691636.8622501995	601677445526.214	5840357061.047525
117.5473220805824	42741424736.92049	27941856266.360996	8599126590402.282	6036067.544989331	492744425269.57996	4574356041.415167
118.31718276152681	41030895952.78311	27204907493.26355	7142319298631.726	22498987.68832539	416618621228.02527	3582975345.863825
119.19401128166895	39157500659.0018	26405464920.300827	5849893731960.795	60274425.25439613	347170550282.43787	2806301866.1831927
120.0	37500000000.0	25700000000.0	4900000000000.0	118000000.0	295000000000.0	2273224774.158968
120.39568044567854	36707232517.790504	25361676853.777725	4487300500990.928	155634490.7933729	272201427046.18274	2039184372.29952
121.16411322519251	35204358520.940956	24717656397.788464	3766980913504.8286	242897055.75674203	232313901985.54718	1610577097.4632294
121.86266201333844	33877478080.915726	24145827406.103893	3198799886086.011	332401518.5811092	200717071134.00055	1261568687.2986672
122.75731850668024	32227928601.584656	23430129234.640507	2580408640358.966	450503121.88780034	166093817160.13745	988092458.5598931
123.63414702682238	30660024512.89435	22744249408.043617	2080684186303.6511	557852435.6182668	137796901414.85434	773905886.2403775
124.33727757635437	29433639232.50715	22203502166.500694	1746866418321.4934	629201622.2276999	118612217964.13278	588542629.6167929
124.6669703124612	28867136206.430103	21952347347.732063	1608688214829.2053	656075989.9752306	110567448990.32497	606100650.971139
125.0	28300000000.0	21700000000.0	1480000000000.0	678000000.0	103000000000.0	591771885.4822444
125.64630967850115	27213260923.777588	21213639012.59976	1258950102209.6418	704340271.8089093	89778756418.97485	474693184.2502751
126.36268643984673	26030431667.578747	20678970366.02222	1053968527444.6544	711294479.5673239	77185245473.24475	371824922.7357233
127.70634328947176	23875641441.855858	19685260293.412075	764315137155.2274	676334129.2428449	58549748418.09536	290880251.1445189
128.87319593283362	22074589602.447067	18827677786.33885	589529752389.3881	614176702.5164264	46558634422.478645	233122286.72017783
130.0	20400000000.0	18000000000.0	465000000000.0	545000000.0	37600000000.0	175439645.0613459
130.06677920065226	20302804659.749348	17950877568.09261	458515834454.4327	540995679.5351007	37128360142.37459	172716170.9183257
131.66351680529027	18049181515.251835	16773118354.664253	324875628144.2177	453688651.31565356	27391799575.57798	125131160.60697648
132.24010894815495	17269399952.891247	16346573465.923372	285852698054.49786	425885357.7083851	24534712149.511486	104763084.8745898
133.3041311868931	15879435809.41064	15558236502.062239	224973298793.98096	379247197.0281016	20043237850.909824	82046127.18661718
134.4038093720305	14511585629.91304	14742452124.431755	175227551797.91486	336812080.839089	16307673486.284607	64253994.27215826
135.0	13800000000.0	14300000000.0	153000000000.0	316000000.0	14600000000.0	55385682.61551571
135.39132432727286	13344636818.632711	14009641926.072983	139981630148.50116	303106029.75380003	13581711645.914074	50323008.360782
136.53185384950683	12071785447.903246	13166404641.60729	108317256246.71216	268749670.20336384	11026196426.085526	39409392.98411329
137.6814503596032	10873477979.753082	12327208488.69543	84415840005.45377	238556503.33379787	8988880230.24686	30862487.083659474
139.04319975077502	9568966568.108181	11358050856.875624	63956639682.72289	207808673.6872144	7128600302.735288	24166619.536877614
140.0	8730000000.0	10700000000.0	53100000000.0	189000000.0	6090000000.0	20576446.231790155
140.5190481704244	8302390182.535117	10352766685.70492	48003910658.14506	179636435.18926048	5594973019.673532	18922392.466879614
142.42359384745225	6891652535.738458	9144984663.195982	33044520224.778908	149791686.6406231	4115682736.7411966	14446291.61061608
143.93516371157338	5935295209.893186	8268695928.660398	24629707102.871403	130552998.15208603	3252671526.0258307	11598323.296191026
145.0	5340000000.0	7700000000.0	20100000000.0	119000000.0	2770000000.0	10189376.423097923
145.84012073852725	4912340258.271028	7281290554.694558	17156958081.94904	110892580.01159957	2445576544.06115	9180712.767652256
147.26376493664662	4264558506.5382843	6628039118.60233	13211162139.047976	98903418.26485229	1990605675.460741	7268794.414973436
148.89700889111558	3626483134.1043773	5955109671.585083	9943756730.056978	87367319.42775552	1587825085.4048626	5690995.6957347775
150.0	3250000000.0	5540000000.0	8270000000.0	80600000.0	1370000000.0	4879751.424524984
150.6563220846389	3044075275.4806247	5306015721.93986	7410725267.219744	76871343.86508206	1255825744.0807443	4455399.784623561
153.10723701168732	2381344439.27296	4512012392.624677	4906907061.688271	64638713.52466273	912121823.8439717	3189356.8890853343
