time (yyyyDDD),wavelength (nm),irradiance (W/m^2/nm),uncertainty (W/m^2/nm)
2012014,104.5,2.129465610778425E-5,0.13192038238048553
2012014,105.5,1.7403930542059243E-5,0.09345008432865143
2012014,106.5,1.8832022760761902E-5,0.09161330759525299
2012014,107.5,2.0747185772052035E-5,0.10579634457826614
2012014,108.5,3.2262290915241465E-5,0.1196378841996193
2012014,109.5,2.33378195844125E-5,0.10088402032852173
2012014,110.5,2.7310234145261347E-5,0.1131569966673851
2012014,111.5,2.4937853595474735E-5,0.10311169177293777
2012014,112.5,2.599450272100512E-5,0.08415212482213974
2012014,113.5,1.7218171706190333E-5,0.09030698984861374
2012014,114.5,2.081391357933171E-5,0.30000001192092896
2012014,115.5,2.440965545247309E-5,0.06591637432575226
2012014,116.5,2.7380941901355982E-5,0.042143721133470535
2012014,117.5,9.920352749759331E-5,0.045544542372226715
2012014,118.5,3.731667311512865E-5,0.03428551182150841
2012014,119.5,6.588117685168982E-5,0.036621686071157455
2012014,120.5,2.0740734180435538E-4,0.05886215716600418
2012014,121.5,0.008160717785358429,0.123076893389225
2012014,122.5,7.88856195867993E-5,0.03430543839931488
2012014,123.5,5.089383921585977E-5,0.04119602590799332
2012014,124.5,3.7337144021876156E-5,0.038664303719997406
2012014,125.5,3.360057235113345E-5,0.03476361185312271
2012014,126.5,4.750699736177921E-5,0.0488276332616806
2012014,127.5,2.3970504116732627E-5,0.03614387661218643
2012014,128.5,1.878324110293761E-5,0.037554044276475906
2012014,129.5,2.6576850359560922E-5,0.12577705085277557
2012014,130.5,1.7261315952055156E-4,0.10258932411670685
2012014,131.5,2.8024380299029872E-5,0.11774084717035294
2012014,132.5,2.262534326291643E-5,0.14496102929115295
2012014,133.5,2.2937252651900053E-4,0.1267838478088379
2012014,134.5,2.1372925402829424E-5,0.148249089717865
2012014,135.5,4.5577555283671245E-5,0.11080040037631989
2012014,136.5,3.0333874747157097E-5,0.10850993543863297
2012014,137.5,3.145178925478831E-5,0.11676209419965744
2012014,138.5,3.172770084347576E-5,0.1257822960615158
2012014,139.5,8.763307414483279E-5,0.11179665476083755
2012014,140.5,7.635525980731472E-5,0.11194019019603729
2012014,141.5,4.400550824357197E-5,0.11522067338228226
2012014,142.5,4.790775346918963E-5,0.11119081825017929
2012014,143.5,5.2264244004618376E-5,0.11210132390260696
2012014,144.5,5.4178050049813464E-5,0.1049506738781929
2012014,145.5,5.650567982229404E-5,0.10604000836610794
2012014,146.5,6.786340236430988E-5,0.10449668020009995
2012014,147.5,8.602469461038709E-5,0.0986529290676117
2012014,148.5,8.695797441760078E-5,0.09933500736951828
2012014,149.5,7.87896933616139E-5,0.10247401893138885
2012014,150.5,8.609592623542994E-5,0.10179731994867325
2012014,151.5,9.738669905345887E-5,0.09818139672279358
2012014,152.5,1.1742173228412867E-4,0.09723784029483795
2012014,153.5,1.3140685041435063E-4,0.09733641147613525
2012014,154.5,2.2927003738004714E-4,0.10302794724702835
2012014,155.5,1.9771613006014377E-4,0.0978509709239006
2012014,156.5,1.9424101628828794E-4,0.09562703222036362
2012014,157.5,1.736186386551708E-4,0.09617020934820175
2012014,158.5,1.7108219617512077E-4,0.09543129801750183
2012014,159.5,1.7239441513083875E-4,0.09445356577634811
2012014,160.5,1.88962891115807E-4,0.09600073099136353
2012014,161.5,2.227979712188244E-4,0.09623884409666061
2012014,162.5,2.5315891252830625E-4,0.09311778843402863
2012014,163.5,2.670814865268767E-4,0.09465242922306061
2012014,164.5,3.223864478059113E-4,0.09471337497234344
2012014,165.5,5.006894352845848E-4,0.0957927331328392
2012014,166.5,3.444512258283794E-4,0.0945708155632019
2012014,167.5,4.123385879211128E-4,0.09357665479183197
2012014,168.5,4.4656023965217173E-4,0.09249500930309296
2012014,169.5,5.921230767853558E-4,0.09075117111206055
2012014,170.5,6.671774899587035E-4,0.09076014161109924
2012014,171.5,6.586666568182409E-4,0.09281377494335175
2012014,172.5,7.483726367354393E-4,0.09271461516618729
2012014,173.5,7.39568960852921E-4,0.09275216609239578
2012014,174.5,9.029029752127826E-4,0.0921296775341034
2012014,175.5,0.0011195226106792688,0.09268011897802353
2012014,176.5,0.0012116135330870748,0.09020096808671951
2012014,177.5,0.0014792508445680141,0.09001238644123077
2012014,178.5,0.001666569383814931,0.09174157679080963
2012014,179.5,0.001704937545582652,0.09105414152145386
2012014,180.5,0.002178867580369115,0.09197495877742767
2012014,181.5,0.0025600334629416466,0.0950382724404335
2012014,182.5,0.002501435810700059,0.09324019402265549
2012014,183.5,0.0026258123107254505,0.09156427532434464
2012014,184.5,0.0022925748489797115,0.0926995798945427
2012014,185.5,0.0026505151763558388,0.09221949428319931
2012014,186.5,0.003102804534137249,0.09105480462312698
2012014,187.5,0.0033874500077217817,0.09096422046422958
2012014,188.5,0.003357416484504938,0.09382887929677963
2012014,189.5,0.0025260194670408964,0.10063743591308594
2012014,190.5,-1.0,100.0
